Month,Total_Touches,Converted,Clicked,Conversion_Rate_Pct,Click_Rate_Pct
2023-02,3516,198,171,5.63,4.86
2023-03,29607,1520,1444,5.13,4.88
2023-04,4266,229,232,5.37,5.44
2023-05,54630,2726,2719,4.99,4.98
2023-06,10055,532,504,5.29,5.01
2023-07,4477,239,223,5.34,4.98
2023-08,4446,216,235,4.86,5.29
2023-09,4252,222,220,5.22,5.17
2023-10,4219,210,197,4.98,4.67
2023-11,4254,208,195,4.89,4.58
2023-12,4283,185,214,4.32,5.0
2024-01,41872,2058,2098,4.91,5.01
2024-02,8643,446,457,5.16,5.29
2024-03,4417,211,200,4.78,4.53
2024-04,4218,218,194,5.17,4.6
2024-05,4430,214,222,4.83,5.01
2024-06,4234,212,211,5.01,4.98
2024-07,4405,234,225,5.31,5.11
2024-08,4333,224,194,5.17,4.48
2024-09,4310,198,220,4.59,5.1
2024-10,4253,207,207,4.87,4.87
2024-11,4072,233,207,5.72,5.08
2024-12,4338,191,206,4.4,4.75
2025-01,4379,219,226,5.0,5.16
2025-02,3911,191,182,4.88,4.65
2025-03,4400,229,216,5.2,4.91
2025-04,4354,212,232,4.87,5.33
2025-05,4226,216,228,5.11,5.4
2025-06,4096,227,195,5.54,4.76
2025-07,4338,217,224,5.0,5.16
2025-08,4408,233,183,5.29,4.15
2025-09,4146,226,225,5.45,5.43
2025-10,4558,194,236,4.26,5.18
2025-11,4072,200,189,4.91,4.64
2025-12,4319,222,211,5.14,4.89
2026-01,4516,237,249,5.25,5.51
2026-02,2850,135,145,4.74,5.09
